#board channel detector J/O det_ana strip pin
# board: digitizer board number
# channel: digitizer channel number
# detector: analysis detector index (0-8)
# J/O: J=junction, O=ohmic
# det_ana: legacy/local field (currently ignored by macro)
# strip: strip index 0-7 for junction, ohmic channel 0-3 for ohmic
# pin: pin flag 0=pin side, 1=strip side closer to pin; -1 for ohmic
0 0 0 J 1 0 0
0 1 0 J 1 0 1
0 2 0 J 1 1 0
0 3 0 J 1 1 1
0 4 0 J 1 2 0
0 5 0 J 1 2 1
0 6 0 J 1 3 0
0 7 0 J 1 3 1
0 8 0 J 1 4 0
0 9 0 J 1 4 1
0 10 0 J 1 5 0
0 11 0 J 1 5 1
0 12 0 J 1 6 0
0 13 0 J 1 6 1
0 14 0 J 1 7 0
0 15 0 J 1 7 1
0 48 0 O 1 0 -1
0 49 0 O 1 1 -1
0 50 0 O 1 2 -1
0 51 0 O 1 3 -1
0 16 1 J 2 0 0
0 17 1 J 2 0 1
0 18 1 J 2 1 0
0 19 1 J 2 1 1
0 20 1 J 2 2 0
0 21 1 J 2 2 1
0 22 1 J 2 3 0
0 23 1 J 2 3 1
0 24 1 J 2 4 0
0 25 1 J 2 4 1
0 26 1 J 2 5 0
0 27 1 J 2 5 1
0 28 1 J 2 6 0
0 29 1 J 2 6 1
0 30 1 J 2 7 0
0 31 1 J 2 7 1
0 52 1 O 2 0 -1
0 53 1 O 2 1 -1
0 54 1 O 2 2 -1
0 55 1 O 2 3 -1
0 32 2 J 3 0 0
0 33 2 J 3 0 1
0 34 2 J 3 1 0
0 35 2 J 3 1 1
0 36 2 J 3 2 0
0 37 2 J 3 2 1
0 38 2 J 3 3 0
0 39 2 J 3 3 1
0 40 2 J 3 4 0
0 41 2 J 3 4 1
0 42 2 J 3 5 0
0 43 2 J 3 5 1
0 44 2 J 3 6 0
0 45 2 J 3 6 1
0 46 2 J 3 7 0
0 47 2 J 3 7 1
0 56 2 O 3 0 -1
0 57 2 O 3 1 -1
0 58 2 O 3 2 -1
0 59 2 O 3 3 -1
1 0 3 J 1 0 0
1 1 3 J 1 0 1
1 2 3 J 1 1 0
1 3 3 J 1 1 1
1 4 3 J 1 2 0
1 5 3 J 1 2 1
1 6 3 J 1 3 0
1 7 3 J 1 3 1
1 8 3 J 1 4 0
1 9 3 J 1 4 1
1 10 3 J 1 5 0
1 11 3 J 1 5 1
1 12 3 J 1 6 0
1 13 3 J 1 6 1
1 14 3 J 1 7 0
1 15 3 J 1 7 1
1 48 3 O 1 0 -1
1 49 3 O 1 1 -1
1 50 3 O 1 2 -1
1 51 3 O 1 3 -1
1 16 4 J 2 0 0
1 17 4 J 2 0 1
1 18 4 J 2 1 0
1 19 4 J 2 1 1
1 20 4 J 2 2 0
1 21 4 J 2 2 1
1 22 4 J 2 3 0
1 23 4 J 2 3 1
1 24 4 J 2 4 0
1 25 4 J 2 4 1
1 26 4 J 2 5 0
1 27 4 J 2 5 1
1 28 4 J 2 6 0
1 29 4 J 2 6 1
1 30 4 J 2 7 0
1 31 4 J 2 7 1
1 52 4 O 2 0 -1
1 53 4 O 2 1 -1
1 54 4 O 2 2 -1
1 55 4 O 2 3 -1
1 32 5 J 3 0 0
1 33 5 J 3 0 1
1 34 5 J 3 1 0
1 35 5 J 3 1 1
1 36 5 J 3 2 0
1 37 5 J 3 2 1
1 38 5 J 3 3 0
1 39 5 J 3 3 1
1 40 5 J 3 4 0
1 41 5 J 3 4 1
1 42 5 J 3 5 0
1 43 5 J 3 5 1
1 44 5 J 3 6 0
1 45 5 J 3 6 1
1 46 5 J 3 7 0
1 47 5 J 3 7 1
1 56 5 O 3 0 -1
1 57 5 O 3 1 -1
1 58 5 O 3 2 -1
1 59 5 O 3 3 -1
2 0 6 J 1 0 0
2 1 6 J 1 0 1
2 2 6 J 1 1 0
2 3 6 J 1 1 1
2 4 6 J 1 2 0
2 5 6 J 1 2 1
2 6 6 J 1 3 0
2 7 6 J 1 3 1
2 8 6 J 1 4 0
2 9 6 J 1 4 1
2 10 6 J 1 5 0
2 11 6 J 1 5 1
2 12 6 J 1 6 0
2 13 6 J 1 6 1
2 14 6 J 1 7 0
2 15 6 J 1 7 1
2 48 6 O 1 0 -1
2 49 6 O 1 1 -1
2 50 6 O 1 2 -1
2 51 6 O 1 3 -1
2 16 7 J 2 0 0
2 17 7 J 2 0 1
2 18 7 J 2 1 0
2 19 7 J 2 1 1
2 20 7 J 2 2 0
2 21 7 J 2 2 1
2 22 7 J 2 3 0
2 23 7 J 2 3 1
2 24 7 J 2 4 0
2 25 7 J 2 4 1
2 26 7 J 2 5 0
2 27 7 J 2 5 1
2 28 7 J 2 6 0
2 29 7 J 2 6 1
2 30 7 J 2 7 0
2 31 7 J 2 7 1
2 52 7 O 2 0 -1
2 53 7 O 2 1 -1
2 54 7 O 2 2 -1
2 55 7 O 2 3 -1
2 32 8 J 3 0 0
2 33 8 J 3 0 1
2 34 8 J 3 1 0
2 35 8 J 3 1 1
2 36 8 J 3 2 0
2 37 8 J 3 2 1
2 38 8 J 3 3 0
2 39 8 J 3 3 1
2 40 8 J 3 4 0
2 41 8 J 3 4 1
2 42 8 J 3 5 0
2 43 8 J 3 5 1
2 44 8 J 3 6 0
2 45 8 J 3 6 1
2 46 8 J 3 7 0
2 47 8 J 3 7 1
2 56 8 O 3 0 -1
2 57 8 O 3 1 -1
2 58 8 O 3 2 -1
2 59 8 O 3 3 -1
